tag	final_latent_nll	windows
ht2_w32_s2026	-3.5452964305877686	800
ht2_w32_s2027	-3.435248851776123	800
ht2_w32_s2028	-3.535165548324585	800
ht2_w64_s2026	-3.3576059341430664	800
ht2_w64_s2027	-3.266587972640991	800
ht2_w64_s2028	-3.2750163078308105	800
ht2_w128_s2026	-2.8788132667541504	800
ht2_w128_s2027	-2.6580209732055664	800
ht2_w128_s2028	-2.6199517250061035	800
ht2_w256_s2026	-1.7439731359481812	800
ht2_w256_s2027	-1.737709403038025	800
ht2_w256_s2028	-1.7150650024414062	800
ht4_ema_s2026	-3.3576059341430664	800
ht4_ema_s2027	-3.266587972640991	800
ht4_ema_s2028	-3.2750163078308105	800
ht4_sync_s2026	0.22508621215820312	800
ht4_sync_s2027	0.22912341356277466	800
ht4_sync_s2028	0.15887543559074402	800
